title,label,score
"bhc치킨, 독자경영 10년만에 치킨업계 '넘버1' 등극 ""업계 최초+유일""",positive,0.9998621940612793
"LG이노텍, XR 시장 공략 '신무기' 공개…세계 최소 두께",positive,0.9998699426651001
"오늘의집, '오시즌위크' 진행…최대 89% 할인",neutral,0.9999154806137085
"삼성전자, 삼성디스플레이서 20조원 차입…반도체 투자 목적",positive,0.7041373252868652
"한국회계기준원, 지속가능성기준 자문위원회 확대 개편",neutral,0.9997168183326721
"LG전자, 스마트 TV 플랫폼 공급 2년 만에 300곳 돌파…전 세계 최다",positive,0.9998722076416016
[오전시황] 외인·기관 매도에 코스피 2440선 후퇴,neutral,0.9570346474647522
"""올해 ICT·DX 트렌드 궁금하다면…"" ICT 맛집 열렸다",neutral,0.9999043941497803
"인공지능 챗봇 ‘챗GPT’ 관심↑…기업들, AI 반도체 솔루션 개발 가속",neutral,0.9690348505973816
"평택, 화성, 이천의 공통점은? …산업단지 호재에 도시 성장 기대",neutral,0.9999114274978638
JY가 챙긴 차세대 'QD-OLED'…임직원이 먼저 보고 냉정한 평가,neutral,0.9894709587097168
"반도체업계, 조특법 표류에 ""세계는 오른쪽가는데, 우리만 왼쪽"" 개탄",neutral,0.9321146607398987
코스피 보합 출발…테슬라 주가 급등에 2차전지주↑[개장시황],neutral,0.9796440601348877
"삼성전자, 삼성디스플레이서 20조원 차입… 왜?",negative,0.6558717489242554
"""美 CPI 쇼크 없었다""…코스피·코스닥 보합",neutral,0.9998164772987366
"[특징주] 서플러스글로벌, 'AI반도체' TSMC 주문 폭증… 주요 고객사 부각",positive,0.9997453093528748
"최태원 회장, 지난해 SK 배당금 649억…국내 7위",positive,0.9998387098312378
"[개장시황] 코스피, 예상 웃돈 美 CPI에 약보합권…0.16% 하락 2461선",neutral,0.9995543360710144
예상 웃돈 美 소비자물가…외국인 순매도에 코스피 파란불,neutral,0.9307394027709961
"하만 JBL, 사운드바 신제품 4종 출시",positive,0.9998712539672852
"[어제장 오늘장] ""테마로 간다""…거래량은 줄었지만 지수는 상승",neutral,0.9991708993911743
[코스피·코스닥 전 거래일(14일) 주요공시],neutral,0.9998737573623657
삼성전자 주총 앞두고...이재용 복귀 '불발',negative,0.9510422348976135
[굿모닝 경제] 은행 성과급 1.3조 / 평균퇴직금 1500만원 / 이재용 등기이...,neutral,0.9996440410614014
[굿모닝경제] 美 인플레 둔화 속도 느려져...금리 인상 오래갈 듯,neutral,0.999295711517334
"삼성전자, 자회사에 20조 빌린 이유는…'반도체 투자'",neutral,0.999588668346405
"국내 증시도 혼조, 코스피↓·코스닥↑…2차전지株 '활짝'",neutral,0.9993188381195068
"예상치 웃돈 美 CPI…코스피, 하락 출발",neutral,0.9988921284675598
"오늘의집, 역대급 혜택으로 돌아온 ‘오시즌위크' 진행",neutral,0.9999185800552368
"삼성전자, 반도체 투자 위해 디스플레이서 20조 긴급 수혈",negative,0.6265140175819397
"""물고기 잡는법 알려줄게"" 中企와 상생한 기업 어디?",neutral,0.9999157190322876
삼성D에 ‘20조’ 손벌린 삼성전자…반도체 한파 대비,negative,0.9027947187423706
"연말 성과급 받고도..현대차 노조 ""실적 좋으니 또 성과급 내놔라""",negative,0.6144489645957947
[기자수첩]반도체 전문가 없이 첨단전략산업 논의 가능할까,neutral,0.9999001026153564
"외국인들 매수 ""역대급""…1월에 가장 많이 사들인 종목 보니",positive,0.7630528807640076
"삼성전자, 20조원 차입…어디에 투자할까?",neutral,0.9901342988014221
"""올해 코스피 2800간다"" 근거 둘…韓증시 흔들 뇌관은 '이것'",neutral,0.9999145269393921
"삼성전자, 자회사서 20조 빌려…혹한기에도 반도체 투자",positive,0.9434698224067688
삼성 QD-OLED TV 내달 출격…초대형 TV 판 커진다,positive,0.9864628911018372
1월 CPI 6.4% 올라 전망치 상회…나스닥 0.57%↑[뉴스새벽배송],neutral,0.9957327246665955
"삼성전자, 디스플레이서 20조 빌린다… “반도체 투자 예년 수준 유지”",positive,0.7293227910995483
"아이폰·갤럭시 고장나도, 한국엔 ‘직접 수리할 권리’가 없다",neutral,0.6015612483024597
천안 미래 산업지도 바뀐다…2028년까지 15개 산단 조성,neutral,0.9999290704727173
"'최태원 크레딧' 주도 CSES 나석권 원장, ""사회성과 화폐화, 거래되는 날 오...",neutral,0.9998388290405273
"갤S23, 사전판매 109만대… 비싸졌지만 '스펙'으로 극복",positive,0.9920005798339844
‘JY·종희님’ 호칭 쓰는 삼성…‘사대과차부’ 지고 ‘님프매’ 뜬다,neutral,0.999880313873291
갤S23 사전예약 109만대 역대 최대,positive,0.9968151450157166
"삼성 기부왕이 전하는 나눔의 기쁨…""작은 기부, 누군가의 삶 바꿔""",positive,0.988031268119812
"[르포]""사원증만 갖다대니 1000원 기부, 참 쉽죠""…나눔, 일상이 되다",neutral,0.8862857818603516
"[신부품명가]①구광모號 LG, 가전명가에서 신부품명가로 '우뚝'",neutral,0.9998964071273804
"법인세 급감 우려, 감세 정책 본격화…올해 '5조원' 세수 펑크 위기",negative,0.9377688765525818
반도체 혹한기에도 1월 '깜짝 실적' 낸 TSMC…삼성·SK는 어떻길래,positive,0.9940251708030701
600만 개미發 ‘3월의 청문회’,neutral,0.9925442934036255
갤럭시북3 '가성비' 앞세워 '강호' 그램과 정면승부,positive,0.9987413287162781
인류 문명 게임 체인저… 빅테크·반도체 ‘빅매치’,neutral,0.9994514584541321
삼성전자서비스 ‘CS 달인’ 선정… ‘고객 만족도’ 최고 평가 18명,positive,0.9998639822006226
갤S23 사전예약 역대 최다 절반 이상 S23 울트라 택해,neutral,0.9572306871414185
"이재용, 삼성전자 등기이사 복귀 안한다",neutral,0.9738604426383972
“갤럭시 스튜디오서 S23 체험하세요”,neutral,0.999853253364563
부산서 키우고 뽑은 클라우드 인재 맹활약…동종업계 지역행 촉발,neutral,0.9997922778129578
작년 상위 50개사 배당금 13% 줄어… 실적둔화 탓,negative,0.99687260389328
갤S23 사전판매 109만대… S시리즈 역대 최다,positive,0.9997060894966125
반도체 빅2의 ‘실내 마스크’ 신경전?,neutral,0.9877400994300842
삼성전자 “반도체 투자” 삼성디스플레이서 20조 빌린다,neutral,0.47814449667930603
"[Biz & Now] 삼성전자, 내달 15일 정기주총…이재용 등기임원 복귀 안해",neutral,0.9997426867485046
"삼성전자, 내달 주총 안건에 ‘이재용 회장 등기이사 복귀’ 없다",neutral,0.9998385906219482
주식 앱 다시 깔았어요… 증시→예금 ‘逆머니무브’ 끝나나,neutral,0.9999209642410278
연말 성과급 받은 현대차 노조… 실적 좋았다고 또 성과급 요구,negative,0.7280989289283752
"지난해 현대·기아차 배당액, 삼성전자 앞서… ""2022년은 역시 반도체보다 車였다...",positive,0.98896723985672
삼성전자 ‘갤럭시 스튜디오’ 오픈,neutral,0.6891153454780579
"""그날 회사가 내 혼을 가져갔다""…삼성 사장으로 산다는 것",neutral,0.9996028542518616
"삼성전자, 자회사서 20조 원 빌린다…""반도체 투자 계획대로""",neutral,0.8499600887298584
“그 종목 배당 쥐꼬리던데”…이랬던 김대리가 깜짝,positive,0.9758244156837463
"""현금부자 아니었어?"" 삼성전자, 자회사에 20조원 빌려서 '투자'",negative,0.8654677271842957
“대만에 밀릴 판국”…외로운 싸움하는 한국기업들,negative,0.9513010382652283
"삼성전자, ‘갤럭시 S23’ 체험 스튜디오 운영[포토뉴스]",neutral,0.9996765851974487
"삼성전자, 삼성디스플레이서 20조원 빌린다…반도체 투자 재원확보 차원",positive,0.9570489525794983
삼성전자 돌연 자회사서 20조 빌리기로… 왜?,neutral,0.8344900012016296
"""기기값 공짜에 현금까지""…갤S23 출시 앞두고 '성지'에서는",positive,0.9995359182357788
자회사에 20조원 빌린 삼성전자…실적 악화에 투자금 긴급 수혈,negative,0.9987657070159912
"가상인간에 5,000명 몰렸다…AI 비서에서 창작까지",neutral,0.9998127818107605
"`인플레 둔화` 베팅…""불확실성 여전"" [증시프리즘]",neutral,0.9491032361984253
"이재용, 삼성전자 등기이사 복귀 안한다",neutral,0.9738604426383972
100원을 팔면 46원 남겨…이 한국기업 대단하네,neutral,0.9462034106254578
실적 따라 엇갈린 기업 분위기…돌아온 ‘3월의 청문회’에 분주한 재계,neutral,0.5136724710464478
"[단독] 이영 중소벤처기업부 장관 “납품대금 연동제, 지방중기청에 조사권 위임… ...",neutral,0.9998998641967773
국내 주요 대기업 배당도 줄였다…주요 50개사 배당 전년보다 14% 감소,negative,0.9704485535621643
"이재용 회장, 삼성전자 등기이사 복귀 안한다",neutral,0.9945198893547058
"삼성, 반도체 투자에 후진 없다 자회사서 20조 빌려 재원 마련",neutral,0.8916759490966797
"삼성전자, 삼성디스플레이서 20조원 빌린다…""반도체 투자 재원 확보""",positive,0.9754607081413269
"삼성전자, 20조원 차입…“반도체 투자 유지 위해서”",positive,0.8547114133834839
"‘현금부자’ 삼성전자, 자회사서 거금 20조 빌린 이유는",neutral,0.972928524017334
"삼성전자, 삼성디스플레이서 운영자금 20조원 차입",positive,0.5182197093963623
"""한계에 도전한 갤S23의 '눈'""... 이미지센서 개발 스토리 눈길",positive,0.8514299392700195
갤S23 사전판매 109만대 '신기록'... S펜 내장 울트라 비중 60% 차지,positive,0.9998421669006348
"'현금 130조' 삼성전자, 자회사에 20조 빌린 이유는…",neutral,0.9699750542640686
"삼성전자, 삼성디스플레이서 20조 빌려 반도체 투자한다",positive,0.9531983733177185
"삼성전자, 삼성D서 20조 차입…""흔들림 없는 반도체 투자""",positive,0.7514961361885071
삼성전자 20조원 빌린다…반도체 혹한기 '無감산' 보릿고개,neutral,0.7482420802116394
"삼성전자, 삼성디스플레이서 운영자금 20조원 빌린다",neutral,0.6487627625465393
